x,y,cost,temperature
-2.919109127929904,4.37463460641008,88.571583367193,500
-3.6853849065955346,4.448098678204087,132.23674232028785,500
-3.3668927274515426,4.831139814144825,194.99821563981462,500
-3.5579175286345466,4.6054005461632315,152.70069421877423,500
-3.6838269196609126,4.712608783286254,185.86712424685214,500
-3.9040777014026187,4.5371699017454175,170.8086016245373,500
-3.849957195778632,4.694308036914627,197.6697702625171,500
-3.897104334090769,4.468970784884799,157.28142360132682,500
-4.089789258406036,4.82613817544286,260.23998099072855,500
-3.622715672949811,4.477321981589961,132.38441572711835,500
-3.5166049307248364,4.38076213303,108.27760307514517,500
-3.4516140214173916,4.131295183094406,69.22263348333516,500
-3.8810194932430138,3.9141412624729472,83.3328148974907,450.0
-3.725420274273907,4.224481237654069,101.16208054516096,450.0
-4.092573160351182,3.8499693950813,106.0537868687889,450.0
-4.292125080596888,3.3584884599947067,116.22637364463915,450.0
-3.823735349998884,3.773170021299115,66.32213314716637,450.0
-3.7326937136401894,3.8783780339118303,64.96343924628161,450.0
-4.047431879266945,3.6730470233814154,87.9608973383967,450.0
-3.7706388821053403,3.9526956055363005,74.96802282810488,450.0
-4.097437637017668,3.704397350334961,97.01576790932644,450.0
-4.371647986288394,3.6701958789203037,143.20828814747463,450.0
-4.169675883019018,4.022105322178195,133.40936859448223,450.0
-4.184499698906397,4.024437414975532,136.0912691506644,405.0
-4.240789704688119,3.5742348306517973,113.83687687103236,405.0
-4.041482871375316,3.9369851804723908,105.82050727714328,405.0
-4.302834562768661,3.7059623113272657,131.80752705438985,405.0
-4.632193254297824,3.8637923458733208,215.9594505966683,405.0
-4.210972431703353,4.353317675653631,182.80449998239055,405.0
-4.386641258449609,4.167979232488427,189.84813966126234,405.0
-4.453829466189839,4.152838239322756,202.27542319905484,405.0
-4.162418739644723,3.7579852138412813,110.44310979504638,405.0
-4.597222705994334,3.5805355481112464,189.5967684658741,405.0
-4.897518471701697,3.1060570318538456,264.0064086456867,405.0
-5.139906237924077,3.2225784328263174,350.57453519440213,364.5
-4.774498695313155,3.356671607195422,229.85584812230184,364.5
-4.876608043386539,3.739652815004443,277.3874104970562,364.5
-4.418451862047634,4.04944574723006,182.8552803647338,364.5
-3.9989129548609523,4.095868026676995,115.95300366590556,364.5
-3.554726137545283,4.125532910413385,74.99620721693118,364.5
-3.321310200966099,4.237812103373522,76.55871391744816,364.5
-3.441081174215749,4.398664969886914,106.79222362749381,364.5
-3.484716389130777,4.681642789474346,164.64428177755005,364.5
-3.6982404593047753,4.573755903005892,157.04210148314698,364.5
-4.649595353223026,4.266028814097607,264.45097717829094,328.05
-4.841113481008221,4.103473469354881,298.5405612405741,328.05
-4.410484587840699,3.699094085072776,152.82386039237272,328.05
-4.532146256467604,3.289696235804271,165.1142422649034,328.05
-4.417761569806762,3.2580378621611614,139.28723397846127,328.05
